latitude,longitude,Units,Construction Year,Type,Area,Floors,Height
45.5113169,-73.57578790000002,1.0,1989.0,residential,79.0,4.0,30.0
45.5113169,-73.57578790000002,1.0,1989.0,residential,67.0,1.0,7.5
45.5113169,-73.57578790000002,1.0,1989.0,residential,87.0,4.0,30.0
45.5112143,-73.5755551,1.0,1989.0,residential,90.0,3.0,22.5
45.5112143,-73.5755551,1.0,1989.0,residential,151.0,3.0,22.5
45.5112143,-73.5755551,1.0,1989.0,residential,100.0,6.0,45.0
45.51126190000001,-73.57566800000002,1.0,1989.0,residential,113.0,6.0,45.0
45.51126190000001,-73.57566800000002,1.0,1989.0,residential,92.0,2.0,15.0
45.5117927,-73.5768171,1.0,1910.0,residential,109.0,1.0,7.5
45.5118071,-73.5768301,1.0,1910.0,residential,99.0,1.0,7.5
45.5118055,-73.5768446,1.0,1910.0,residential,113.0,1.0,7.5
45.5118142,-73.57686329999999,1.0,1910.0,residential,143.0,3.0,22.5
45.5118222,-73.5768805,1.0,1910.0,residential,103.0,1.0,7.5
45.5118291,-73.5768954,1.0,1910.0,residential,101.0,1.0,7.5
45.51186679999999,-73.5769766,1.0,1910.0,residential,111.0,1.0,7.5
45.511873,-73.57698979999998,1.0,1910.0,residential,68.0,1.0,7.5
45.511876,-73.5769964,1.0,1910.0,residential,124.0,6.0,45.0
45.5119049,-73.57702320000001,1.0,1910.0,residential,56.0,1.0,7.5
45.5117283,-73.57690649999998,1.0,1910.0,residential,91.0,1.0,7.5
45.5119195,-73.57709,6.0,1986.0,residential,522.0,3.0,22.5
45.51202470000001,-73.57731650000002,6.0,1986.0,residential,585.0,3.0,22.5
45.5103156,-73.5727721,1.0,1900.0,residential,152.0,2.0,15.0
45.5102203,-73.5726327,2.0,1885.0,residential,208.0,3.0,22.5
45.51019960000001,-73.57252530000002,5.0,1885.0,residential,208.0,3.0,22.5
45.51016729999999,-73.5724568,1.0,1890.0,residential,208.0,3.0,22.5
45.510105,-73.572358,1.0,1885.0,residential,193.0,2.0,15.0
45.510062,-73.572288,1.0,1885.0,residential,193.0,2.0,15.0
45.50998389999999,-73.5722378,1.0,1900.0,residential,188.0,2.0,15.0
45.5100072,-73.57211629999998,1.0,1885.0,residential,192.0,2.0,15.0
45.50997750000001,-73.572053,3.0,1900.0,residential,235.0,3.0,22.5
45.5099347,-73.5719622,4.0,1900.0,residential,235.0,3.0,22.5
45.5098894,-73.5718656,29.0,1941.0,residential,349.0,3.0,22.5
45.50981820000001,-73.5717143,16.0,1927.0,residential,325.0,3.0,22.5
45.509799,-73.5714469,12.0,1926.0,residential,290.0,3.0,22.5
45.50998149999999,-73.5713025,57.0,1960.0,residential,413.0,8.0,60.0
45.51013870000001,-73.57131640000001,2.0,1858.0,residential,187.0,2.0,15.0
45.5101602,-73.5714436,1.0,1885.0,residential,186.0,3.0,22.5
45.51017299999999,-73.571505,8.0,1937.0,residential,232.0,4.0,30.0
45.51020020000001,-73.57154709999998,3.0,1875.0,residential,232.0,3.0,22.5
45.51028400000001,-73.57174690000002,2.0,1866.0,residential,232.0,3.0,22.5
45.51037059999999,-73.5717713,2.0,1885.0,residential,190.0,3.0,22.5
45.51038370000001,-73.57182089999998,3.0,1885.0,residential,209.0,3.0,22.5
45.510383,-73.57197699999998,2.0,1870.0,residential,214.0,3.0,22.5
45.5104939,-73.57199159999998,2.0,1900.0,residential,273.0,3.0,22.5
45.5104806,-73.57216700000002,8.0,1900.0,residential,218.0,4.0,30.0
45.510499,-73.572259,4.0,1875.0,residential,218.0,3.0,22.5
45.5106609,-73.5724156,4.0,1875.0,residential,186.0,3.0,22.5
45.5121918,-73.5760026,1.0,1900.0,residential,161.0,2.0,15.0
45.5130083,-73.5766725,29.0,1952.0,residential,271.0,4.0,30.0
45.5125247,-73.5762288,5.0,1910.0,residential,160.0,4.0,30.0
45.5125903,-73.5760499,2.0,1900.0,residential,302.0,4.0,30.0
45.512516,-73.57569000000002,42.0,1928.0,residential,1208.0,3.0,22.5
45.512324,-73.57536999999998,42.0,1928.0,residential,1210.0,3.0,22.5
45.5192939,-73.5953935,10.0,1950.0,residential,357.0,3.0,22.5
45.512225,-73.575064,2.0,1880.0,residential,309.0,3.0,22.5
45.512157,-73.57489699999998,2.0,1875.0,residential,302.0,2.0,15.0
45.5190943,-73.59495940000002,1.0,1971.0,residential,159.0,2.0,15.0
45.5120713,-73.57490229999998,2.0,1900.0,residential,254.0,2.0,15.0
45.51211970000001,-73.5747598,19.0,1967.0,residential,254.0,4.0,30.0
45.5120707,-73.57468399999998,18.0,1962.0,residential,244.0,4.0,30.0
45.511939,-73.57451390000001,168.0,1965.0,residential,851.0,15.0,112.5
45.5188896,-73.5947576,4.0,1913.0,residential,162.0,3.0,22.5
45.5118286,-73.57415870000001,13.0,1891.0,residential,359.0,3.0,22.5
45.5187005,-73.5941962,8.0,1939.0,residential,580.0,3.0,22.5
45.511731,-73.574027,4.0,1885.0,residential,302.0,2.0,15.0
45.5186518,-73.5939902,6.0,1926.0,residential,235.0,3.0,22.5
45.51168699999999,-73.573949,1.0,1900.0,residential,302.0,2.0,15.0
45.5185491,-73.59396079999998,4.0,1947.0,residential,235.0,3.0,22.5
45.5116536,-73.5738693,1.0,1900.0,residential,302.0,3.0,22.5
45.5185674,-73.593808,6.0,1926.0,residential,235.0,3.0,22.5
45.51161399999999,-73.57378299999998,3.0,1890.0,residential,302.0,2.0,15.0
45.5115699,-73.5737422,2.0,1900.0,residential,252.0,2.0,15.0
45.51850719999999,-73.5937505,5.0,1926.0,residential,232.0,3.0,22.5
45.511533,-73.57364199999998,6.0,1900.0,residential,252.0,2.0,15.0
45.51847520000001,-73.59358519999998,5.0,1926.0,residential,232.0,3.0,22.5
45.5184285,-73.5934637,4.0,1926.0,residential,232.0,3.0,22.5
45.5183922,-73.5933931,6.0,1926.0,residential,232.0,3.0,22.5
45.51132700000001,-73.57318099999998,1.0,1900.0,residential,254.0,2.0,15.0
45.511214,-73.5731428,2.0,1900.0,residential,254.0,2.0,15.0
45.5183174,-73.593223,6.0,1927.0,residential,232.0,3.0,22.5
45.511259,-73.57302899999998,6.0,1885.0,residential,266.0,3.0,22.5
45.5182865,-73.59314909999998,6.0,1927.0,residential,232.0,3.0,22.5
45.51819769999999,-73.5929918,6.0,1926.0,residential,232.0,3.0,22.5
45.51116500000001,-73.57280999999998,3.0,1885.0,residential,302.0,2.0,15.0
45.5111783,-73.5726657,1.0,1985.0,residential,47.0,1.0,7.5
45.5111783,-73.5726657,1.0,1985.0,residential,58.0,1.0,7.5
45.51743279999999,-73.59134770000001,31.0,1959.0,residential,1858.0,3.0,22.5
45.5111783,-73.5726657,1.0,1985.0,residential,55.0,1.0,7.5
45.5111783,-73.5726657,1.0,1985.0,residential,63.0,1.0,7.5
45.5111783,-73.5726657,1.0,1985.0,residential,54.0,1.0,7.5
45.5111783,-73.5726657,1.0,1985.0,residential,64.0,1.0,7.5
45.5170417,-73.59044190000002,34.0,1956.0,Commercial,357.0,3.0,30.0
45.5111783,-73.5726657,1.0,1985.0,residential,54.0,1.0,7.5
45.5111783,-73.5726657,1.0,1985.0,residential,63.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,57.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,45.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,61.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,53.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,62.0,1.0,7.5
45.51723399999999,-73.58998170000002,4.0,1910.0,residential,279.0,3.0,22.5
45.5110874,-73.5725622,1.0,1999.0,residential,52.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,61.0,1.0,7.5
45.5110874,-73.5725622,1.0,1999.0,residential,53.0,1.0,7.5
45.5174369,-73.59023640000002,44.0,1957.0,residential,558.0,4.0,30.0
45.5109946,-73.5723373,130.0,1967.0,residential,807.0,15.0,112.5
45.5108588,-73.5719996,342.0,1969.0,residential,1521.0,22.0,165.0
45.51059859999999,-73.5716736,1.0,1982.0,residential,79.0,3.0,22.5
45.510785,-73.57149299999998,1.0,1982.0,residential,79.0,3.0,22.5
45.510754,-73.57152599999998,1.0,1982.0,residential,79.0,3.0,22.5
45.510726,-73.57155300000002,1.0,1982.0,residential,118.0,3.0,22.5
45.5177412,-73.59104980000002,1.0,1900.0,residential,279.0,3.0,22.5
45.510652,-73.571506,1.0,1982.0,residential,119.0,3.0,22.5
45.51777070000001,-73.5911173,2.0,1900.0,residential,279.0,2.0,15.0
45.510632,-73.571463,1.0,1982.0,residential,79.0,3.0,22.5
45.510621,-73.571697,1.0,1982.0,residential,79.0,3.0,22.5
45.5105636,-73.57166520000001,1.0,1982.0,residential,79.0,3.0,22.5
45.5178619,-73.59141559999998,1.0,1910.0,residential,279.0,3.0,22.5
45.510584,-73.571606,1.0,1982.0,residential,79.0,3.0,22.5
45.510559,-73.571546,1.0,1982.0,residential,79.0,3.0,22.5
45.5179347,-73.5916301,2.0,1910.0,residential,418.0,3.0,22.5
45.510539,-73.5714069,1.0,1875.0,residential,79.0,1.0,7.5
45.5105482,-73.57139819999998,1.0,1875.0,residential,79.0,1.0,7.5
45.518078,-73.59191799999998,32.0,1931.0,residential,509.0,4.0,30.0
45.5105482,-73.57139819999998,1.0,1875.0,residential,79.0,1.0,7.5
45.510539,-73.5714069,1.0,1875.0,residential,103.0,1.0,7.5
45.5104941,-73.5713447,10.0,1875.0,residential,302.0,4.0,30.0
45.51042,-73.57116490000001,17.0,1912.0,residential,907.0,4.0,30.0
45.50641090000001,-73.5601642,56.0,1982.0,residential,957.0,6.0,45.0
45.506561,-73.560507,2.0,1880.0,residential,225.0,3.0,22.5
45.5069431,-73.56124750000002,70.0,1984.0,residential,897.0,11.0,82.5
45.512799,-73.57425970000001,51.0,1963.0,residential,554.0,4.0,30.0
45.519281,-73.593164,3.0,1910.0,residential,266.0,3.0,22.5
45.51925,-73.59307,3.0,1910.0,residential,265.0,3.0,22.5
45.51921,-73.59298790000003,3.0,1910.0,residential,265.0,3.0,22.5
45.513675,-73.57542990000002,2.0,1890.0,residential,192.0,2.0,15.0
45.51918,-73.592901,6.0,1910.0,residential,286.0,3.0,22.5
45.5136029,-73.57537889999998,2.0,1890.0,residential,186.0,2.0,15.0
45.519142,-73.5928239,3.0,1910.0,residential,244.0,3.0,22.5
45.51359229999999,-73.57522159999998,2.0,1890.0,residential,187.0,2.0,15.0
45.519112,-73.59275199999998,3.0,1910.0,residential,207.0,3.0,22.5
45.5135516,-73.57511650000002,3.0,1890.0,residential,318.0,2.0,15.0
45.5132779,-73.57461479999998,2.0,1874.0,residential,281.0,2.0,15.0
45.51910410000001,-73.5922291,5.0,1910.0,residential,299.0,3.0,22.5
45.51327800000001,-73.574528,2.0,1900.0,residential,286.0,2.0,15.0
45.513242,-73.574446,2.0,1900.0,residential,286.0,2.0,15.0
45.5184916,-73.5911689,3.0,1910.0,residential,265.0,3.0,22.5
45.51316629999999,-73.57441870000002,2.0,1900.0,residential,286.0,2.0,15.0
45.5184755,-73.59111390000002,3.0,1910.0,residential,265.0,3.0,22.5
45.5184053,-73.5910184,3.0,1910.0,residential,265.0,3.0,22.5
45.5130979,-73.5742552,1.0,1900.0,residential,197.0,2.0,15.0
45.51837670000001,-73.5909913,2.0,1910.0,residential,265.0,3.0,22.5
45.51308909999999,-73.5742587,1.0,1900.0,residential,198.0,2.0,15.0
45.518306,-73.590906,3.0,1910.0,residential,265.0,3.0,22.5
45.5130458,-73.57414899999998,1.0,1900.0,residential,198.0,2.0,15.0
45.5182689,-73.59082599999998,3.0,1910.0,residential,265.0,3.0,22.5
45.5130246,-73.5741204,1.0,1900.0,residential,198.0,2.0,15.0
45.51823599999999,-73.590739,2.0,1910.0,residential,265.0,3.0,22.5
45.5130375,-73.5740009,1.0,1900.0,residential,195.0,2.0,15.0
45.518201,-73.59066,3.0,1910.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,58.0,1.0,7.5
45.5180537,-73.5904585,3.0,1900.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,44.0,1.0,7.5
45.5181128,-73.5902888,3.0,1900.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,51.0,1.0,7.5
45.51797,-73.590262,3.0,1900.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,51.0,1.0,7.5
45.51794500000001,-73.59020500000003,2.0,1900.0,residential,265.0,2.0,15.0
45.5130024,-73.57389079999999,1.0,1984.0,residential,54.0,3.0,22.5
45.51788,-73.590049,3.0,1900.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,40.0,2.0,15.0
45.51782,-73.589928,3.0,1900.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,59.0,3.0,22.5
45.5178804,-73.5898021,3.0,1900.0,residential,265.0,3.0,22.5
45.5130024,-73.57389079999999,1.0,1984.0,residential,40.0,3.0,22.5
45.51289439999999,-73.57370420000002,131.0,1966.0,residential,881.0,15.0,112.5
45.5126374,-73.57321309999998,18.0,1967.0,residential,1016.0,3.0,22.5
45.51776470000001,-73.5895309,2.0,1900.0,residential,265.0,2.0,15.0
45.5177139,-73.58941229999998,3.0,1900.0,residential,265.0,2.0,15.0
45.517615,-73.5894689,2.0,1900.0,residential,271.0,2.0,15.0
45.517956,-73.589136,3.0,1900.0,residential,232.0,3.0,22.5
45.512186,-73.572028,9.0,1900.0,residential,252.0,3.0,22.5
45.517993,-73.589226,3.0,1900.0,residential,232.0,3.0,22.5
45.51806699999999,-73.589382,3.0,1900.0,residential,232.0,3.0,22.5
45.5121175,-73.57199419999998,1.0,1900.0,residential,86.0,1.0,7.5
45.51814,-73.589552,3.0,1900.0,residential,234.0,3.0,22.5
45.518172,-73.58963100000003,3.0,1900.0,residential,236.0,3.0,22.5
45.518213,-73.589725,3.0,1900.0,residential,253.0,3.0,22.5
45.5182065,-73.5898828,2.0,1910.0,residential,235.0,2.0,15.0
45.5182138,-73.5899293,2.0,1910.0,residential,207.0,2.0,15.0
45.518316,-73.58996909999998,3.0,1910.0,residential,232.0,3.0,22.5
45.5184052,-73.59002149999998,2.0,1910.0,residential,232.0,2.0,15.0
45.5183467,-73.5901933,3.0,1910.0,residential,232.0,3.0,22.5
45.518426,-73.59021700000002,3.0,1910.0,residential,232.0,3.0,22.5
45.5117408,-73.57094620000002,240.0,1973.0,residential,1130.0,13.0,97.5
45.5184659,-73.590304,3.0,1910.0,residential,232.0,3.0,22.5
