url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-buildings~for-sale~rimouski/20932791?view=Summary&uc=2,48.4454415,-68.52911988,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DC99ADD126AB90D1B&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1930,"1,480 sqft","2,619 sqft","Residential (1), Commercial (1)",,"7,117 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~gatineau-gatineau/19824157?view=Summary&uc=2,45.474451,-75.692966,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEC0A3D1450513D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,400 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~baie-comeau/19512654?view=Summary&uc=2,49.2000633,-68.25647743,https://mspublic.centris.ca/media.ashx?id=ADDD250D450DB42D14F93C5D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1972,"2,400 sqft","2,394 sqft",Commercial (1),,"15,001 sqft",,,,,,Restaurant,,,
https://www.centris.ca/en/duplexes~for-sale~ville-marie-montreal/22935315?view=Summary,45.515383,-73.553701,https://mspublic.centris.ca/media.ashx?id=ADDD250D214A2B4D1E102412D1B&t=pi&w=1024&h=1024&sm=c,Residential only,1870,,,Residential (2),Attached,"1,891 sqft",,"1 x 3 ½, 1 x 7 ½","7 rooms, 3 bedrooms, 2 bathrooms/powder rooms",$2,,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~beauharnois/12496153?view=Summary&uc=2,45.309172,-73.86258,https://mspublic.centris.ca/media.ashx?id=ADDD250D4668FF9DD95831FD1F&t=pi&w=1024&h=1024&sm=c,Commercial only,,420 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-catherine/22693904?view=Summary&uc=2,45.39045629,-73.57248181,https://mspublic.centris.ca/media.ashx?id=ADDD250D456D5CED1E8CB1DD1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1999,"3,150 sqft","2,312 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/15052073?view=Summary&uc=2,45.534161,-73.576762,https://mspublic.centris.ca/media.ashx?id=ADDD250D431482DDD5E834FD12&t=pi&w=1024&h=1024&sm=c,Offices only,1986,"1,550 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~desjardins-levis/25936240?view=Summary&uc=2,46.8177202,-71.12403818,https://mspublic.centris.ca/media.ashx?id=ADDD250D43A884CD1B9710DD1A&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,"Under construction, New","1,500 sqft",,Commercial (1),,"80,000 sqft",,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/17007390?view=Summary,45.4961617,-73.57050355,https://mspublic.centris.ca/media.ashx?id=ADDD250D43FF2F7D1D2B215D14&t=pi&w=1024&h=1024&sm=c,,,,,,,163 sqft,,,,,Residential,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~rosemont-la-petite-patrie-montreal/23141251?view=Summary&uc=2,45.53148252,-73.59827171,https://mspublic.centris.ca/media.ashx?id=ADDD250D470210CD1A119B2D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1924,"1,320 sqft",,Commercial (1),,"4,336 sqft",,,,,,Office,,,
