url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/16117323?view=Summary,45.50021925,-73.56670539,https://mspublic.centris.ca/media.ashx?id=ADDD250D467D78CDD6E55C9D1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Candy/Chocolate shop,,,
https://www.centris.ca/en/industrial-units~for-rent~rosemont-la-petite-patrie-montreal/16590253?view=Summary&uc=2,45.544074,-73.584252,https://mspublic.centris.ca/media.ashx?id=ADDD250D46A0A4CDD634E83D1F&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,1946,"10,000 sqft","58,840 sqft",Industrial (1),,"68,000 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sept-iles/23776452?view=Summary&uc=2,50.22360188,-66.38950317,https://mspublic.centris.ca/media.ashx?id=ADDD250D4E3E723D1A8777CD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1960,"1,440 sqft","1,440 sqft",Office (1),,,,,,,,Other,,,
https://www.centris.ca/en/industrial-units~for-rent~sainte-rose-laval/12248148?view=Summary&uc=2,45.597132,-73.755743,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D434F4DD985CECD11&t=pi&w=1024&h=1024&sm=c,Offices only,,"1,832 sqft",,Office (1),,,,,,,,Other,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/24143934?view=Summary,45.50569396,-73.55307046,https://mspublic.centris.ca/media.ashx?id=ADDD250D46996A8D10DAB25D1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/industrial-buildings~for-rent~vimont-laval/21140986?view=Summary&uc=2,45.590482,-73.716676,https://mspublic.centris.ca/media.ashx?id=ADDD250D46C7F96D1C4FE68D1D&t=pi&w=1024&h=1024&sm=c,Commercial and industrial,,"3,000 sqft",,Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/9899328?view=Summary,45.497758,-73.574754,https://mspublic.centris.ca/media.ashx?id=ADDD250D45987F9DDF0D3CDD1B&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~rock-forest-saint-elie-deauville-sherbrooke/12008405?view=Summary&uc=2,45.39398244,-72.01964021,https://mspublic.centris.ca/media.ashx?id=ADDD250D48211E2DD90293ED10&t=pi&w=1024&h=1024&sm=c,Commercial only,2001,"2,540 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/25027522?view=Summary&uc=2,45.51435116,-73.57394493,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A5E70D1035274D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,,"1,500 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~villeray-saint-michel-parc-extension-montreal/27285623?view=Summary&uc=2,45.57067226,-73.60385745,https://mspublic.centris.ca/media.ashx?id=ADDD250D492D3FBD18DEB00D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"6,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-sophie/12890741?view=Summary&uc=2,45.81676498,-73.90415989,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D3B8C4DD7C940ED12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","5,000 sqft","5,000 sqft",Commercial (1),,,,,,,,Other,,,
https://www.centris.ca/en/commercial-units~for-rent~sainte-julie/24557895?view=Summary&uc=2,45.57430958,-73.32775561,https://mspublic.centris.ca/media.ashx?id=ADDD250D436F790D10A9FC0D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1980,"3,500 sqft","6,000 sqft",Office (1),,"36,690 sqft",,,,,,"Office, Travel agency, Fitness centre, Clinic, Accounting, Distributor, Driving school, Daycare centre",,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/14508613?view=Summary,45.522702,-73.554924,https://mspublic.centris.ca/media.ashx?id=ADDD250D46D6BE8DD33A4CED10&t=pi&w=1024&h=1024&sm=c,Residential only,2010,,,Residential (4),Attached,"2,832 sqft",,"3 x 4 ½, 1 x 5 ½","4 rooms, 2 bedrooms, 1 bathroom/powder room","$98,028",,,,,
https://www.centris.ca/en/commercial-units~for-rent~cote-des-neiges-notre-dame-de-grace-montreal/17952735?view=Summary&uc=2,45.49495337,-73.61701786,https://mspublic.centris.ca/media.ashx?id=ADDD250D435F05CD1115636D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,80 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~granby/25864325?view=Summary&uc=2,45.40894276,-72.74449959,https://mspublic.centris.ca/media.ashx?id=ADDD250D46E82BAD1B88BBED11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~jonquiere-saguenay/11775804?view=Summary&uc=2,48.42263092,-71.24178334,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEBE80DD928627D11&t=pi&w=1024&h=1024&sm=c,Offices only,1991,"3,676 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~vaudreuil-dorion/14087880?view=Summary&uc=2,45.38989875,-74.06423244,https://mspublic.centris.ca/media.ashx?id=ADDD250D4630936DD3A6A7BD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2014,182 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/26131484?view=Summary,45.500748,-73.559356,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEEFE6D1B59717D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"2007, Century","12,000 sqft","3,311 sqft",Commercial (1),,"3,311 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~rimouski/19883243?view=Summary&uc=2,48.464224,-68.51695,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A39F1FD146AC59D12&t=pi&w=1024&h=1024&sm=c,Commercial only,1954,"1,200 sqft",,Commercial (1),,"5,909 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~rouyn-noranda/14591068?view=Summary&uc=2,48.241721,-79.021373,https://mspublic.centris.ca/media.ashx?id=ADDD250D456FF90DD358CE7D1B&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1949,"18,904 sqft","8,764 sqft",Office (1),,"27,395 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/24911874?view=Summary&uc=2,45.68014292,-73.92852356,https://mspublic.centris.ca/media.ashx?id=ADDD250D47DE4B5D1074DD4D14&t=pi&w=1024&h=1024&sm=c,Commercial only,2016,150 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-sud-ouest-montreal/15657539?view=Summary&uc=2,45.451452,-73.592572,https://mspublic.centris.ca/media.ashx?id=ADDD250D40A195BDD5558C2D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,300 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~sainte-therese/21127530?view=Summary&uc=2,45.63977179,-73.82749212,https://mspublic.centris.ca/media.ashx?id=ADDD250D455FD3ED1C4A1A8D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1948,"1,144 sqft",924 sqft,Commercial (1),,"4,844 sqft",,,,,,Professional offices,,,
https://www.centris.ca/en/commercial-buildings~for-rent~chelsea/11366986?view=Summary&uc=2,45.502944,-75.807402,https://mspublic.centris.ca/media.ashx?id=ADDD250D469820FDD8304C8D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"To be built, New","2,981 sqft",,Commercial (1),,"43,003 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier-hochelaga-maisonneuve-montreal/26550455?view=Summary&uc=2,45.5731,-73.536225,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D08ED2D1FE4D90D11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1956,"1,290 sqft","1,290 sqft",Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/25623901?view=Summary&uc=2,45.502864,-73.555177,https://mspublic.centris.ca/media.ashx?id=ADDD250D425489ED1BA63E3D1C&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,850 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/22716161?view=Summary,45.49673531,-73.57494678,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0B19D1E8F6D1D1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,"Commercial, Residential",,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/11678681?view=Summary,45.52018002,-73.56575645,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DD1B45DD94223FD1C&t=pi&w=1024&h=1024&sm=c,Residential only,1900,,,Residential (4),Attached,"2,767 sqft","Driveway (4), Garage (1)","3 x 5 ½, 1 x 6 ½","6 rooms, 3 bedrooms, 2 bathrooms/powder rooms","$76,404",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-units~for-rent~mascouche/27064422?view=Summary&uc=2,45.72124612,-73.62171644,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DC1E48D1F76BAAD10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"7,540 sqft","7,640 sqft",Commercial (1),,"65,808 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/28361872?view=Summary&uc=2,45.52243,-73.579081,https://mspublic.centris.ca/media.ashx?id=ADDD250D43AE8F6D19D7CFDD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1911,962 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~victoriaville/25411739?view=Summary&uc=2,46.057681,-71.948921,https://mspublic.centris.ca/media.ashx?id=ADDD250D46092BBD1B27DF9D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"From 650 sqft to 1,400 sqft",,Office (2),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/26484060?view=Summary,45.50658226,-73.56620747,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D90093D1FC13E7D1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/industrial-units~for-rent~granby/11160230?view=Summary&uc=2,45.38290491,-72.77332612,https://mspublic.centris.ca/media.ashx?id=ADDD250D435C566DD88C88AD1C&t=pi&w=1024&h=1024&sm=c,Industrial and offices,1978,"From 3,000 sqft to 8,000 sqft",,"Office (1), Warehouse (1)",,"467,653 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~jacques-cartier-sherbrooke/13727506?view=Summary&uc=2,45.38921663,-71.96104467,https://mspublic.centris.ca/media.ashx?id=ADDD250D4C2C999DD310014D1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2012,"15,800 sqft","31,800 sqft",Commercial (1),,"64,092 sqft",,,,,,Plumbing,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-leonard-montreal/28856215?view=Summary&uc=2,45.586927,-73.621072,https://mspublic.centris.ca/media.ashx?id=ADDD250D45E0A86D19BC6F0D12&t=pi&w=1024&h=1024&sm=c,Industrial and offices,Unknown age,"12,852 sqft",,Warehouse (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/21759657?view=Summary&uc=2,46.82577,-71.229203,https://mspublic.centris.ca/media.ashx?id=ADDD250D48F9B4AD1C7DA8FD14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,624 sqft,624 sqft,Commercial (1),,,,,,,,Other,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/12533151?view=Summary,45.495244,-73.578333,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D702BBDD9623F6D1A&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/25806756?view=Summary,45.49669865,-73.57493068,https://mspublic.centris.ca/media.ashx?id=ADDD250D47F8BB2D1BF708CD1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-haute-saint-charles-quebec/9786265?view=Summary&uc=2,46.87060004,-71.3376537,https://mspublic.centris.ca/media.ashx?id=ADDD250D4EB1615DDFEE2FFD1C&t=pi&w=1024&h=1024&sm=c,Offices only,,"3,000 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~verdun-ile-des-soeurs-montreal/11845215?view=Summary&uc=2,45.459381,-73.566972,https://mspublic.centris.ca/media.ashx?id=ADDD250D43108C0DD9C95E6D1D&t=pi&w=1024&h=1024&sm=c,Offices only,", Being converted","7,100 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/17376748?view=Summary&uc=2,46.82147805,-71.22639022,https://mspublic.centris.ca/media.ashx?id=ADDD250D2111ACAD1DF4E57D12&t=pi&w=1024&h=1024&sm=c,Offices only,1971,"4,000 sqft","4,000 sqft",Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/industrial-units~for-rent~blainville/11981962?view=Summary&uc=2,45.67316811,-73.86151288,https://mspublic.centris.ca/media.ashx?id=ADDD250D4691936DD9A3CB8D1D&t=pi&w=1024&h=1024&sm=c,Industrial and offices,,"4,900 sqft","4,900 sqft",Industrial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/10670464?view=Summary,45.50763692,-73.56220005,https://mspublic.centris.ca/media.ashx?id=ADDD250D43BB806DD8431BDD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1985,966 sqft,,Commercial (1),,201 sqft,,,,,,Florist,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/24076030?view=Summary,45.5324,-73.559817,https://mspublic.centris.ca/media.ashx?id=ADDD250D21140FBD1A6E565D12&t=pi&w=1024&h=1024&sm=c,Residential only,1929,,,Residential (3),Attached,"1,569 sqft",Driveway (2),3 x 5 ½,"5 rooms, 3 bedrooms, 1 bathroom/powder room","$50,604",,,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier-hochelaga-maisonneuve-montreal/21191201?view=Summary&uc=2,45.60914,-73.526708,https://mspublic.centris.ca/media.ashx?id=ADDD250D4726D5CD1C2E841D1B&t=pi&w=1024&h=1024&sm=c,Offices only,1967,"1,300 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/14529040?view=Summary&uc=2,45.32307688,-73.26397165,https://mspublic.centris.ca/media.ashx?id=ADDD250D46EB6C9DD33941DD1A&t=pi&w=1024&h=1024&sm=c,Commercial only,"To be built, New","4,000 sqft",,Commercial (1),,,,,,,,voir grille d'usage ci-joint joint,,,
https://www.centris.ca/en/commercial-units~for-rent~la-haute-saint-charles-quebec/20969119?view=Summary&uc=2,46.851962,-71.359188,https://mspublic.centris.ca/media.ashx?id=ADDD250D46D2BCFD1266AF6D10&t=pi&w=1024&h=1024&sm=c,Commercial only,,257 sqft,,Commercial (1),,,,,,,,"Office, Boutique, Other, School",,,
https://www.centris.ca/en/commercial-units~for-rent~pierrefonds-roxboro-montreal/28721008?view=Summary&uc=2,45.510853,-73.806077,https://mspublic.centris.ca/media.ashx?id=ADDD250D214446AD19A260DD1F&t=pi&w=1024&h=1024&sm=c,Commercial only,1960,"1,700 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~vaudreuil-dorion/17161539?view=Summary&uc=2,45.40439528,-74.03196693,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D1DF08D1DE33C2D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,265 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~lachenaie-terrebonne/24210086?view=Summary&uc=2,45.71448098,-73.6202061,https://mspublic.centris.ca/media.ashx?id=ADDD250D47BC190D101A88AD1B&t=pi&w=1024&h=1024&sm=c,Offices only,,"2,800 sqft","2,800 sqft",Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/18792167?view=Summary,45.501804,-73.575097,https://mspublic.centris.ca/media.ashx?id=ADDD250D212F468D1159550D11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~ahuntsic-cartierville-montreal/23610253?view=Summary&uc=2,45.53718394,-73.65160865,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D4E3BDD1ABC2B3D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"10,000 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-jean-sur-richelieu/16283458?view=Summary&uc=2,45.3062,-73.279815,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D9C69DD6B00C4D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1981,"2,330 sqft","14,928 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~le-plateau-mont-royal-montreal/16996665?view=Summary&uc=2,45.524375,-73.604907,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D638ED1D2EF2FD14&t=pi&w=1024&h=1024&sm=c,Commercial only,1910,980 sqft,,Commercial (1),,,,,,,,Restaurant,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17125039?view=Summary,45.505021,-73.570805,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DBB2C7D1DEC586D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/21721264?view=Summary&uc=2,45.49669124,-73.57495661,https://mspublic.centris.ca/media.ashx?id=ADDD250D49690D3D1C90D9DD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2014,"3,500 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~la-cite-limoilou-quebec/27117134?view=Summary&uc=2,46.79446391,-71.25465836,https://mspublic.centris.ca/media.ashx?id=ADDD250D4671393D1F37AC5D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,,"2,925 sqft",,Commercial (1),,,,,,,,Bakery,,,
https://www.centris.ca/en/commercial-units~for-rent~blainville/27542459?view=Summary&uc=2,45.669791,-73.874291,https://mspublic.centris.ca/media.ashx?id=ADDD250D4667593D18CC299D12&t=pi&w=1024&h=1024&sm=c,Commercial only,,506 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~cheneville/19954168?view=Summary&uc=2,45.88647589,-75.05622122,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D04F9DD12D0F6BD12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2008,809 sqft,"6,000 sqft",Commercial (1),,"28,950 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~l-epiphanie/28951607?view=Summary&uc=2,45.84846037,-73.4938197,https://mspublic.centris.ca/media.ashx?id=ADDD250D4593D27D19F7C20D1B&t=pi&w=1024&h=1024&sm=c,Offices only,,"1,600 sqft","1,600 sqft",Office (1),,,,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~mercier-hochelaga-maisonneuve-montreal/27794507?view=Summary&uc=2,45.60914,-73.526708,https://mspublic.centris.ca/media.ashx?id=ADDD250D4726D46D18B17C9D14&t=pi&w=1024&h=1024&sm=c,Offices only,1967,"2,750 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~ahuntsic-cartierville-montreal/21861755?view=Summary&uc=2,45.5448808,-73.66734383,https://mspublic.centris.ca/media.ashx?id=ADDD250D4B5FA53D1C3FE09D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1963,331 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~chicoutimi-saguenay/23430346?view=Summary&uc=2,48.38750056,-71.07819264,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D25C2BD1AEBC78D1A&t=pi&w=1024&h=1024&sm=c,Commercial only,"To be built, New","4,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~drummondville/15748708?view=Summary&uc=2,45.870109,-72.509626,https://mspublic.centris.ca/media.ashx?id=ADDD250D4421133DD6DC5ACD1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,1 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/24682846?view=Summary,45.497778,-73.578449,https://mspublic.centris.ca/media.ashx?id=ADDD250D46FA576D10B81E5D1E&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/11938762?view=Summary,45.500878,-73.560792,https://mspublic.centris.ca/media.ashx?id=ADDD250D43ACA19DD9A4978D11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Coffee/Donuts,,,
https://www.centris.ca/en/commercial-units~for-rent~riviere-du-loup/21945990?view=Summary&uc=2,47.832758,-69.536933,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D2C20BD1C535BAD12&t=pi&w=1024&h=1024&sm=c,Commercial only,,300 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/17778685?view=Summary,45.5064,-73.570587,https://mspublic.centris.ca/media.ashx?id=ADDD250D45B5B85D1D6C063D1B&t=pi&w=1024&h=1024&sm=c,Commercial only,2015,"1,000 sqft",,Commercial (1),,,,,,,,Restaurant,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/13397442?view=Summary,45.51617052,-73.55905151,https://mspublic.centris.ca/media.ashx?id=ADDD250D453F7D8DD77A374D10&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Fast food,,,
https://www.centris.ca/en/commercial-units~for-rent~terrebonne-terrebonne/28115899?view=Summary&uc=2,45.70160032,-73.64870385,https://mspublic.centris.ca/media.ashx?id=ADDD250D469E7EBD183D299D1D&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"1,078 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~repentigny-repentigny/17751503?view=Summary&uc=2,45.753072,-73.431123,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DA8C49D1D53376D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2013,828 sqft,,Commercial (1),,,,,,,,Office,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/14726382?view=Summary,45.4989094,-73.5441089,https://mspublic.centris.ca/media.ashx?id=ADDD250D457F3DFDD5D9C55D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Convenience store,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/18695656?view=Summary,45.49927851,-73.57046128,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D9CA37D113CE5BD1C&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/commercial-units~for-rent~chomedey-laval/14056847?view=Summary&uc=2,45.55219069,-73.75909666,https://mspublic.centris.ca/media.ashx?id=ADDD250D4580BF5DD3A03B6D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1964,"2,000 sqft",,Office (1),,"19,747 sqft",,,,,,"Accounting, Auto parts, Beauty salon, Computing equipment, Daycare centre, Electronics, Florist, Hairdresser, Health centre, Jewellery store, Pharmacy, Travel agency",,,
https://www.centris.ca/en/commercial-units~for-rent~notre-dame-des-pins/19074433?view=Summary&uc=2,46.183761,-70.711645,https://mspublic.centris.ca/media.ashx?id=ADDD250D49BCF08D142D3B1D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,2017,152 sqft,152 sqft,Office (1),,"120,556 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/20038094?view=Summary,45.507667,-73.562479,https://mspublic.centris.ca/media.ashx?id=ADDD250D46C2296D1217175D12&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1985,679 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~gatineau-gatineau/14399420?view=Summary&uc=2,45.473542,-75.700569,https://mspublic.centris.ca/media.ashx?id=ADDD250D21D1D19DD399097D1B&t=pi&w=1024&h=1024&sm=c,Offices only,,"From 879 sqft to 2,043 sqft",,Office (2),,"15,517 sqft",,,,,,Office,,,
https://www.centris.ca/en/commercial-units~for-rent~ville-marie-montreal/13465426?view=Summary&uc=2,45.50851506,-73.55960262,https://mspublic.centris.ca/media.ashx?id=ADDD250D4563A8ADD7300E4D1B&t=pi&w=1024&h=1024&sm=c,Commercial and office space,"2018, New","1,000 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~saint-hubert-longueuil/21951838?view=Summary&uc=2,45.50027264,-73.42411203,https://mspublic.centris.ca/media.ashx?id=ADDD250D45F9DB1D1C56EE5D14&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"1,200 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~mont-saint-hilaire/10774971?view=Summary&uc=2,45.56703325,-73.18249718,https://mspublic.centris.ca/media.ashx?id=ADDD250D49A3657DD8CAF99D1C&t=pi&w=1024&h=1024&sm=c,Commercial and office space,Unknown age,"27,150 sqft",,Commercial (1),,"92,606 sqft",,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/9951135?view=Summary&uc=2,45.709251,-73.932881,https://mspublic.centris.ca/media.ashx?id=ADDD250D4788A3BDDF030F6D10&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,130 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/17564881?view=Summary,45.50436685,-73.5724411,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DC2F2DD1D7DC31D11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Restaurant,,,
https://www.centris.ca/en/triplexes~for-sale~ville-marie-montreal/9263423?view=Summary,45.526687,-73.558441,https://mspublic.centris.ca/media.ashx?id=ADDD250D43D67FCDDB3EF26D10&t=pi&w=1024&h=1024&sm=c,Residential and commercial,Unknown age,"From 800 sqft to 1,800 sqft","2,142 sqft","Residential (1), Commercial (2)",Attached,"2,150 sqft",,,"4 rooms, 1 bedroom, 1 bathroom/powder room","$40,800",,,,,1 x 4 ½
https://www.centris.ca/en/commercial-units~for-sale~ville-marie-montreal/15966120?view=Summary,45.49686286,-73.55524403,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D655BFDD62F68BD1F&t=pi&w=1024&h=1024&sm=c,Commercial only,2010,"1,465 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/19226775?view=Summary,45.507195,-73.568841,https://mspublic.centris.ca/media.ashx?id=ADDD250D48E5520D14EADF0D1D&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
