,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
520,ROOFTOP,"5032 Rue Saint-Urbain, Montréal, QC H2T 2W3, Canada",ChIJ1UF5c9UbyUwRTtUEIC-C5d8,"5032 rue Saint-Urbain  (MTL), Montreal,Canada",45.521332,-73.59333000000001,1,H2T 2W3,OK,street_address
521,ROOFTOP,"5014 Rue Saint-Urbain, Montréal, QC H2T 2W3, Canada",ChIJJQVdDNUbyUwRyiyK5d8I69k,"5014 rue Saint-Urbain  (MTL), Montreal,Canada",45.5212067,-73.5929341,1,H2T 2W3,OK,street_address
522,ROOFTOP,"4858 Rue Saint-Urbain, Montréal, QC H2T 2W2, Canada",ChIJ5_9K4tQbyUwR9g_EpD32tDA,"4858 rue Saint-Urbain  (MTL), Montreal,Canada",45.520596,-73.5917029,1,H2T 2W2,OK,street_address
523,ROOFTOP,"4852 Rue Saint-Urbain, Montréal, QC H2T 2W2, Canada",ChIJS9Ko49QbyUwR3bs_RlC1Vak,"4852 rue Saint-Urbain  (MTL), Montreal,Canada",45.520633,-73.59162669999999,1,H2T 2W2,OK,street_address
524,ROOFTOP,"4846 Rue Saint-Urbain, Montréal, QC H2T 2W2, Canada",ChIJL0rl49QbyUwR2cUJwDknYr8,"4846 rue Saint-Urbain  (MTL), Montreal,Canada",45.5205259,-73.591576,1,H2T 2W2,OK,street_address
525,ROOFTOP,"4840 Rue Saint-Urbain, Montréal, QC H2T 2W2, Canada",ChIJzdEc5NQbyUwRZb63SKG8AVk,"4840 rue Saint-Urbain  (MTL), Montreal,Canada",45.520491,-73.59148789999999,1,H2T 2W2,OK,street_address
526,ROOFTOP,"4662 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJifuuvdQbyUwRNL-wHOgfBkQ,"4662 rue Saint-Urbain  (MTL), Montreal,Canada",45.5198449,-73.590076,1,H2T 2V8,OK,street_address
527,ROOFTOP,"4644 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJRXwwo9QbyUwRIvKBrI8WLMI,"4644 rue Saint-Urbain  (MTL), Montreal,Canada",45.519737,-73.589843,1,H2T 2V8,OK,street_address
528,ROOFTOP,"4638 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJ4WMNo9QbyUwRrszLLmgZe74,"4638 rue Saint-Urbain  (MTL), Montreal,Canada",45.519701,-73.589756,1,H2T 2V8,OK,street_address
529,ROOFTOP,"4632 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJ_SGao9QbyUwR_jinJbE3Ck8,"4632 rue Saint-Urbain  (MTL), Montreal,Canada",45.519664,-73.589681,1,H2T 2V8,OK,street_address
530,ROOFTOP,"4626 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJa4rxo9QbyUwRjVsPI8Saq9Q,"4626 rue Saint-Urbain  (MTL), Montreal,Canada",45.5196309,-73.589615,1,H2T 2V8,OK,street_address
531,ROOFTOP,"4614 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJnX-1ptQbyUwR5TwXOy95DyQ,"4614 rue Saint-Urbain  (MTL), Montreal,Canada",45.519568,-73.58946999999999,1,H2T 2V8,OK,street_address
532,ROOFTOP,"4608 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJhSnXptQbyUwRSs03KV4I4oY,"4608 rue Saint-Urbain  (MTL), Montreal,Canada",45.51953899999999,-73.589406,1,H2T 2V8,OK,street_address
533,ROOFTOP,"4602 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJNQE7p9QbyUwRc1lpeAtYzO0,"4602 rue Saint-Urbain  (MTL), Montreal,Canada",45.519509,-73.58933499999999,1,H2T 2V8,OK,street_address
534,ROOFTOP,"4596 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJU9NCp9QbyUwR9G3vOm0bz3M,"4596 rue Saint-Urbain  (MTL), Montreal,Canada",45.5194789,-73.58926,1,H2T 2V8,OK,street_address
535,ROOFTOP,"4590 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJy8aZWNMbyUwRyrGUlsEMqBU,"4590 rue Saint-Urbain  (MTL), Montreal,Canada",45.51944599999999,-73.58918,1,H2T 2V8,OK,street_address
536,ROOFTOP,"4584 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJy1XlWNMbyUwR5TMvi2XaPIs,"4584 rue Saint-Urbain  (MTL), Montreal,Canada",45.519409,-73.589091,1,H2T 2V8,OK,street_address
537,ROOFTOP,"4578 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJfWkBWdMbyUwRPjqhHH-VEyY,"4578 rue Saint-Urbain  (MTL), Montreal,Canada",45.519378,-73.5890391,1,H2T 2V8,OK,street_address
538,ROOFTOP,"4572 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJZ4ZxWdMbyUwR01gKOwUXV7M,"4572 rue Saint-Urbain  (MTL), Montreal,Canada",45.5193763,-73.5889266,1,H2T 2V8,OK,street_address
539,ROOFTOP,"4568 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJRwKHWdMbyUwRyL3vNe8GsVk,"4568 rue Saint-Urbain  (MTL), Montreal,Canada",45.519315,-73.588898,1,H2T 2V8,OK,street_address
540,ROOFTOP,"4564 Rue Saint-Urbain, Montréal, QC H2T 2V8, Canada",ChIJGxU5WtMbyUwR57HksZ6RihA,"4564 rue Saint-Urbain  (MTL), Montreal,Canada",45.519279,-73.588821,1,H2T 2V8,OK,street_address
